Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
460 /bp/static/css/chunk-8416.1b0b1eca.css,3951,17,6,31,45,139,1,4223,0.00%,0.2896,0.34,0.12
461 /bp/static/js/chunk-8416.83c18db0.js,3951,17,7,30,49,148,2,4922,0.00%,0.2896,2.7,0.11
462 /api-behavior-web/behavior/api.do,3951,129,109,182,227,326,62,4930,0.00%,0.2896,0.15,0.28
463 /api-behavior-web/behavior/api.do,3951,109,91,148,187,301,51,4926,0.00%,0.2896,0.13,0.3
464 /api-behavior-web/behavior/api.do,3951,98,76,123,154,282,44,4952,0.00%,0.2896,0.16,0.3
店铺模板1,3951,82,64,104,138,292,36,4974,0.00%,0.28958,0.26,0.28
162 /api-decoration-web/decoration/api.do,3951,82,64,104,138,292,36,4974,0.00%,0.28958,0.26,0.28
订单查询1,3951,319,259,447,553,917,4,19239,0.13%,0.28957,22.66,0.41
354 /api-order-web/order/api.do,3951,319,259,447,553,917,4,19239,0.13%,0.28957,22.66,0.41
应用首页1,3951,3597,1809,7640,11636,30066,915,42002,0.00%,0.28954,2291.38,4.06
573 /bp/static/css/chunk-115d.04e7bc32.css,3951,20,9,39,65,175,2,4607,0.00%,0.28958,0.23,0.12
574 /bp/static/js/chunk-115d.b82ad0d5.js,3951,14,6,31,48,153,2,1022,0.00%,0.28958,0.88,0.12
575 /vue/marketing/application/appIndex,3951,17,7,35,49,156,1,4308,0.00%,0.28958,0.28,0.19
579 /vue/marketing/static/js/manifest.9087841072449c17b8b3.js,3951,16,6,30,48,158,2,4503,0.00%,0.2896,1,0.17
577 /vue/marketing/static/js/app.adfc474ad66dff4ab8d1.js,3951,121,57,221,391,1116,12,5879,0.00%,0.2896,50.9,0.16
576 /vue/marketing/static/css/app.58c87d004f09948904d07d0da7c43c8a.css,3951,111,47,187,333,1155,20,5444,0.00%,0.2896,48.11,0.17
578 /vue/marketing/static/js/vendor.b491df705c18c58973e2.js,3951,470,222,854,1611,5147,67,10702,0.00%,0.28959,364.11,0.16
581 /vue/marketing/static/js/manifest.9087841072449c17b8b3.js.map,3951,30,9,45,92,322,2,4722,0.00%,0.2896,3.22,0.1
580 /vue/marketing/static/css/app.58c87d004f09948904d07d0da7c43c8a.css.map,3951,284,109,503,1008,3962,35,7415,0.00%,0.2896,221.59,0.11
582 /vue/marketing/static/js/3.4c8abdad0c0948d6c2f7.js,3951,22,8,40,70,311,1,4492,0.00%,0.2896,0.28,0.16
585 /vue/marketing/static/js/0.3d01bdb5a6121f112fd0.js,3951,18,7,35,61,168,2,4785,0.00%,0.2896,0.57,0.16
583 /vue/marketing/static/js/2.e1e3dec4c07f6968332f.js,3951,19,7,35,58,170,2,4563,0.00%,0.2896,2,0.16
584 /vue/marketing/static/js/4.4875777d19acf1e62717.js,3951,18,8,35,58,156,2,4569,0.00%,0.2896,0.58,0.16
586 /vue/marketing/static/js/5.8525ba17279002e36824.js,3951,34,10,50,96,370,3,4724,0.00%,0.2896,11.16,0.16
589 /vue/marketing/static/js/3.4c8abdad0c0948d6c2f7.js.map,3951,20,8,35,59,165,2,4748,0.00%,0.2896,1.6,0.1
590 /vue/marketing/static/js/4.4875777d19acf1e62717.js.map,3951,17,7,35,57,161,2,1039,0.00%,0.2896,3.21,0.1
592 /vue/marketing/static/js/0.3d01bdb5a6121f112fd0.js.map,3951,18,7,34,57,163,2,4531,0.00%,0.2896,2.59,0.1
591 /vue/marketing/static/js/2.e1e3dec4c07f6968332f.js.map,3951,20,8,37,64,178,2,4917,0.00%,0.2896,4.42,0.1
588 /vue/marketing/static/js/app.adfc474ad66dff4ab8d1.js.map,3951,233,88,424,796,3096,26,6329,0.00%,0.2896,167.13,0.1
594 /mkt-api/v1/b/app/topmenu,3951,78,57,107,193,366,31,4682,0.00%,0.2896,0.16,0.2
596 /mkt-api/v1/b/app/recommend,3951,82,62,123,162,298,32,4625,0.00%,0.2896,2.07,0.2
595 /mkt-api/v1/b/app/rank,3951,62,43,98,170,343,25,4527,0.00%,0.28958,4.75,0.2
593 /mkt-api/v1/b/app/my,3951,124,96,170,220,382,50,4996,0.00%,0.28958,4.87,0.2
597 /mkt-api/v1/b/app-general-info/count,3951,124,108,162,215,338,69,4924,0.00%,0.28958,0.1,0.21
598 /mkt-api/v1/b/app-general-info/activity,3951,59,40,84,127,260,22,4627,0.00%,0.28958,1.64,0.21
599 /vue/marketing/static/js/5.8525ba17279002e36824.js.map,3951,46,20,94,175,415,4,4691,0.00%,0.2896,16.83,0.1
587 /vue/marketing/static/js/vendor.b491df705c18c58973e2.js.map,3951,1506,658,3279,6160,14617,206,22656,0.00%,0.28958,1377.46,0.1
全部客户1,3951,2161,1446,3877,6460,12488,776,22984,0.00%,0.28954,1422.84,1.93
410 /bp/static/css/chunk-48f6.6ed2f2b9.css,3951,33,10,72,127,322,3,4280,0.00%,0.28958,1.87,0.12
411 /bp/static/js/chunk-48f6.90fdca36.js,3951,50,13,112,216,496,4,4851,0.00%,0.28958,15.74,0.12
412 /api-member-web/member/api.do,3951,1419,850,2763,4866,9633,393,19782,0.00%,0.28955,1369.2,0.28
413 /matrix-admin/matrix/api.do,3951,186,153,238,298,479,109,4840,0.00%,0.28957,0.28,0.27
414 /api-member-web/member/api.do,3951,163,115,260,360,799,65,4906,0.00%,0.28958,27.8,0.28
415 /api-member-web/member/api.do,3951,92,76,131,165,291,42,4643,0.00%,0.28958,1.66,0.27
416 /bp/%5B%22http://tmp/wx2a585c6560854c3a.o6zAJs9E7wuhhQFgrmB53kYD-ELg.sm0TwJKtSvUQc6333bcbb9d872600cd767a499a050fb.jpg%22%5D,3951,21,9,38,60,167,3,4625,0.00%,0.28958,1.85,0.15
417 /mmopen/vi_32/Q0j4TwGTfTIfa9ia7IUkE3oTPich6ol2bJDC0ogcw2FLZV5IXfrbGXZvK73lX67iaqu3SuH5cDaxUSxKhSSzAHqtg/132,3951,81,79,85,88,111,11,21102,0.00%,0.28958,1.5,0.15
